Stage,Formula,Energy,Bandgap,Type,SpaceGroup,Delta_E,Delta_Gap,File
,,,,,,,,
BEFORE,KNaO19,-4.0215,0.927,Semiconductor,P1,,,KNaO19_id503_E-4.02.cif
AFTER,KNaO19,-4.7507,3.379,Semiconductor,P1,-0.7292,2.452,KNaO19_id503_Final_E-4.75.cif
,,,,,,,,
BEFORE,SeO,-4.7186,1.572,Semiconductor,Pbca,,,SeO_id2320_E-4.72.cif
AFTER,SeO,-4.7489,1.427,Semiconductor,Pbca,-0.0303,-0.145,SeO_id2320_Final_E-4.75.cif
,,,,,,,,
BEFORE,NaCdSO5,-3.9209,2.416,Semiconductor,P321,,,NaCdSO5_id2438_E-3.92.cif
AFTER,NaCdSO5,-4.7478,2.42,Semiconductor,P1,-0.8269,0.004,NaCdSO5_id2438_Final_E-4.75.cif
,,,,,,,,
BEFORE,BaAs6,-4.5504,0.081,Semiconductor,P4_332,,,BaAs6_id1686_E-4.55.cif
AFTER,BaAs6,-4.7462,1.186,Semiconductor,P1,-0.1958,1.105,BaAs6_id1686_Final_E-4.75.cif
,,,,,,,,
BEFORE,BaSeO4,-4.5683,2.401,Semiconductor,Pnnn,,,BaSeO4_id2687_E-4.57.cif
AFTER,BaSeO4,-4.7384,2.853,Semiconductor,Pnnn,-0.1701,0.452,BaSeO4_id2687_Final_E-4.74.cif
,,,,,,,,
BEFORE,BaSc4O29,-4.4553,1.501,Semiconductor,P4/n,,,BaSc4O29_id683_E-4.46.cif
AFTER,BaSc4O29,-4.7332,1.645,Semiconductor,P1,-0.2779,0.144,BaSc4O29_id683_Final_E-4.73.cif
,,,,,,,,
BEFORE,LiO10,-3.8359,0.666,Semiconductor,Aem2,,,LiO10_id3007_E-3.84.cif
AFTER,LiO10,-4.7303,0.0,Metal,P1,-0.8944,-0.666,LiO10_id3007_Final_E-4.73.cif
,,,,,,,,
BEFORE,Be8SiB5,-4.4545,1.807,Semiconductor,P4/mcc,,,Be8SiB5_id2805_E-4.45.cif
AFTER,Be8SiB5,-4.7151,0.0,Metal,P4/mcc,-0.2606,-1.807,Be8SiB5_id2805_Final_E-4.72.cif
,,,,,,,,
BEFORE,LiSc,-2.5356,1.569,Semiconductor,Pmmm,,,LiSc_id1587_E-2.54.cif
AFTER,LiSc,-4.7084,0.0,Metal,P1,-2.1728,-1.569,LiSc_id1587_Final_E-4.71.cif
,,,,,,,,
BEFORE,Na4Cd(GaO2)3,-4.7053,0.816,Semiconductor,Im-3m,,,Na4Cd(GaO2)3_id2472_E-4.71.cif
AFTER,Na4Cd(GaO2)3,-4.7053,0.847,Semiconductor,Im-3m,0.0000,0.031,Na4Cd(GaO2)3_id2472_Final_E-4.71.cif
,,,,,,,,
BEFORE,KBaO32,-3.7834,1.8,Semiconductor,P-3,,,KBaO32_id1430_E-3.78.cif
AFTER,KBaO32,-4.6968,0.59,Semiconductor,P-3,-0.9134,-1.210,KBaO32_id1430_Final_E-4.70.cif
,,,,,,,,
BEFORE,KInO8,-3.2949,1.288,Semiconductor,I4_1/a,,,KInO8_id2210_E-3.29.cif
AFTER,KInO8,-4.6964,1.678,Semiconductor,P1,-1.4015,0.390,KInO8_id2210_Final_E-4.70.cif
,,,,,,,,
BEFORE,LiP2SeO17,-4.1703,1.633,Semiconductor,P2_1,,,LiP2SeO17_id1141_E-4.17.cif
AFTER,LiP2SeO17,-4.6901,0.189,Semiconductor,P2_1,-0.5198,-1.444,LiP2SeO17_id1141_Final_E-4.69.cif
,,,,,,,,
BEFORE,BaAs5O8,-4.5429,1.657,Semiconductor,I222,,,BaAs5O8_id2600_E-4.54.cif
AFTER,BaAs5O8,-4.6836,1.16,Semiconductor,P1,-0.1407,-0.497,BaAs5O8_id2600_Final_E-4.68.cif
,,,,,,,,
BEFORE,Zn2SnO9,-3.6082,1.186,Semiconductor,P1,,,Zn2SnO9_id1384_E-3.61.cif
AFTER,Zn2SnO9,-4.6792,0.445,Semiconductor,P1,-1.0710,-0.741,Zn2SnO9_id1384_Final_E-4.68.cif
,,,,,,,,
BEFORE,Ba3SbSe3,-4.3844,0.951,Semiconductor,R-3,,,Ba3SbSe3_id2434_E-4.38.cif
AFTER,Ba3SbSe3,-4.6778,1.272,Semiconductor,P1,-0.2934,0.321,Ba3SbSe3_id2434_Final_E-4.68.cif
,,,,,,,,
BEFORE,Ge(AsS2)2,-4.6524,1.206,Semiconductor,I-42d,,,Ge(AsS2)2_id730_E-4.65.cif
AFTER,Ge(AsS2)2,-4.6702,1.421,Semiconductor,I-42d,-0.0178,0.215,Ge(AsS2)2_id730_Final_E-4.67.cif
,,,,,,,,
BEFORE,K(SeO2)2,-4.5967,2.567,Semiconductor,I4_1/a,,,K(SeO2)2_id381_E-4.60.cif
AFTER,K(SeO2)2,-4.6693,1.375,Semiconductor,I4_1/a,-0.0726,-1.192,K(SeO2)2_id381_Final_E-4.67.cif
,,,,,,,,
BEFORE,AsS,-4.512,1.511,Semiconductor,Pca2_1,,,AsS_id785_E-4.51.cif
AFTER,AsS,-4.6663,2.098,Semiconductor,Pca2_1,-0.1543,0.587,AsS_id785_Final_E-4.67.cif
,,,,,,,,
BEFORE,MgCdO4,-4.2006,1.186,Semiconductor,P-4m2,,,MgCdO4_id1817_E-4.20.cif
AFTER,MgCdO4,-4.6588,1.288,Semiconductor,P-4m2,-0.4582,0.102,MgCdO4_id1817_Final_E-4.66.cif
,,,,,,,,
BEFORE,As(P3S7)2,-3.9476,1.629,Semiconductor,Pc,,,As(P3S7)2_id548_E-3.95.cif
AFTER,As(P3S7)2,-4.6543,1.798,Semiconductor,Pc,-0.7067,0.169,As(P3S7)2_id548_Final_E-4.65.cif
,,,,,,,,
BEFORE,MgN,-3.7168,2.75,Semiconductor,Pn-3m,,,MgN_id364_E-3.72.cif
AFTER,MgN,-4.6489,1.243,Semiconductor,P-1,-0.9321,-1.507,MgN_id364_Final_E-4.65.cif
,,,,,,,,
BEFORE,LiTi2(GaO5)2,-3.119,2.054,Semiconductor,C222_1,,,LiTi2(GaO5)2_id2181_E-3.12.cif
AFTER,LiTi2(GaO5)2,-4.6438,2.339,Semiconductor,C222_1,-1.5248,0.285,LiTi2(GaO5)2_id2181_Final_E-4.64.cif
,,,,,,,,
BEFORE,K2N3O,-4.6296,1.216,Semiconductor,I4_1/amd,,,K2N3O_id2127_E-4.63.cif
AFTER,K2N3O,-4.6435,0.0,Metal,I4_1/amd,-0.0139,-1.216,K2N3O_id2127_Final_E-4.64.cif
,,,,,,,,
BEFORE,KNaGeO3,-3.4228,1.75,Semiconductor,P6_3mc,,,KNaGeO3_id1266_E-3.42.cif
AFTER,KNaGeO3,-4.6386,2.008,Semiconductor,P2_1,-1.2158,0.258,KNaGeO3_id1266_Final_E-4.64.cif
,,,,,,,,
BEFORE,ZnO,-4.1247,2.447,Semiconductor,P4_2/ncm,,,ZnO_id2693_E-4.12.cif
AFTER,ZnO,-4.6331,0.639,Semiconductor,Pccn,-0.5084,-1.808,ZnO_id2693_Final_E-4.63.cif
,,,,,,,,
BEFORE,Sn(GeS)2,-3.2108,0.361,Semiconductor,P1,,,Sn(GeS)2_id2983_E-3.21.cif
AFTER,Sn(GeS)2,-4.6232,0.548,Semiconductor,P1,-1.4124,0.187,Sn(GeS)2_id2983_Final_E-4.62.cif
,,,,,,,,
BEFORE,KO3,-3.5494,0.458,Semiconductor,Cmmm,,,KO3_id2911_E-3.55.cif
AFTER,KO3,-4.6201,0.0,Metal,P1,-1.0707,-0.458,KO3_id2911_Final_E-4.62.cif
,,,,,,,,
BEFORE,SbS4,-4.5555,3.373,Semiconductor,I4_1/a,,,SbS4_id3149_E-4.56.cif
AFTER,SbS4,-4.6198,3.39,Semiconductor,I4_1/a,-0.0643,0.017,SbS4_id3149_Final_E-4.62.cif
,,,,,,,,
BEFORE,C(SO9)2,-3.1345,1.491,Semiconductor,Pm,,,C(SO9)2_id435_E-3.13.cif
AFTER,C(SO9)2,-4.6148,2.376,Semiconductor,Pm,-1.4803,0.885,C(SO9)2_id435_Final_E-4.61.cif
,,,,,,,,
BEFORE,KO2,-4.1239,1.208,Semiconductor,Pbca,,,KO2_id1861_E-4.12.cif
AFTER,KO2,-4.6072,0.783,Semiconductor,P2_1/c,-0.4833,-0.425,KO2_id1861_Final_E-4.61.cif
,,,,,,,,
BEFORE,SiS2,-4.597,0.088,Semiconductor,I4_1/amd,,,SiS2_id2849_E-4.60.cif
AFTER,SiS2,-4.6041,0.084,Semiconductor,I4_1/amd,-0.0071,-0.004,SiS2_id2849_Final_E-4.60.cif
,,,,,,,,
BEFORE,Ti2Be3Al2B,-3.5344,1.712,Semiconductor,P6_422,,,Ti2Be3Al2B_id2512_E-3.53.cif
AFTER,Ti2Be3Al2B,-4.6021,0.276,Semiconductor,P1,-1.0677,-1.436,Ti2Be3Al2B_id2512_Final_E-4.60.cif
,,,,,,,,
BEFORE,As4P,-4.3169,0.393,Semiconductor,I4_1/a,,,As4P_id1772_E-4.32.cif
AFTER,As4P,-4.5785,0.374,Semiconductor,I4_1/a,-0.2616,-0.019,As4P_id1772_Final_E-4.58.cif
,,,,,,,,
BEFORE,PS6,-2.8082,2.196,Semiconductor,P4/mmm,,,PS6_id2853_E-2.81.cif
AFTER,PS6,-4.5778,1.481,Semiconductor,P1,-1.7696,-0.715,PS6_id2853_Final_E-4.58.cif
,,,,,,,,
BEFORE,CN3,-4.5701,0.098,Semiconductor,Fm-3m,,,CN3_id3265_E-4.57.cif
AFTER,CN3,-4.5709,0.135,Semiconductor,Fm-3m,-0.0008,0.037,CN3_id3265_Final_E-4.57.cif
,,,,,,,,
BEFORE,GeS2,-4.4834,0.694,Semiconductor,P3_221,,,GeS2_id817_E-4.48.cif
AFTER,GeS2,-4.5637,0.797,Semiconductor,P3_221,-0.0803,0.103,GeS2_id817_Final_E-4.56.cif
,,,,,,,,
BEFORE,Ba3O11,-4.2577,2.449,Semiconductor,Cm,,,Ba3O11_id3119_E-4.26.cif
AFTER,Ba3O11,-4.5627,1.974,Semiconductor,P1,-0.3050,-0.475,Ba3O11_id3119_Final_E-4.56.cif
,,,,,,,,
BEFORE,NaO2,-4.2576,0.553,Semiconductor,Pbca,,,NaO2_id408_E-4.26.cif
AFTER,NaO2,-4.551,2.006,Semiconductor,Pbca,-0.2934,1.453,NaO2_id408_Final_E-4.55.cif
,,,,,,,,
BEFORE,NaLiO6,-4.1866,1.646,Semiconductor,Pmmn,,,NaLiO6_id1025_E-4.19.cif
AFTER,NaLiO6,-4.5492,0.0,Metal,Pmmn,-0.3626,-1.646,NaLiO6_id1025_Final_E-4.55.cif
,,,,,,,,
BEFORE,Sn2SbS4,-4.3849,0.285,Semiconductor,I-42d,,,Sn2SbS4_id2610_E-4.38.cif
AFTER,Sn2SbS4,-4.5479,0.299,Semiconductor,Fdd2,-0.1630,0.014,Sn2SbS4_id2610_Final_E-4.55.cif
,,,,,,,,
BEFORE,Li7B(AsO2)2,-3.3249,2.911,Semiconductor,P-42_1m,,,Li7B(AsO2)2_id1838_E-3.32.cif
AFTER,Li7B(AsO2)2,-4.5435,3.04,Semiconductor,P2_12_12,-1.2186,0.129,Li7B(AsO2)2_id1838_Final_E-4.54.cif
,,,,,,,,
BEFORE,Zn5GaO21,-3.7035,1.675,Semiconductor,I4,,,Zn5GaO21_id1330_E-3.70.cif
AFTER,Zn5GaO21,-4.5393,1.425,Semiconductor,I4,-0.8358,-0.250,Zn5GaO21_id1330_Final_E-4.54.cif
,,,,,,,,
BEFORE,Li2CdO2,-3.8858,0.568,Semiconductor,Cmcm,,,Li2CdO2_id1209_E-3.89.cif
AFTER,Li2CdO2,-4.5327,0.0,Metal,Cmcm,-0.6469,-0.568,Li2CdO2_id1209_Final_E-4.53.cif
,,,,,,,,
BEFORE,NaPN2,-4.5224,2.255,Semiconductor,I4_122,,,NaPN2_id3352_E-4.52.cif
AFTER,NaPN2,-4.5303,1.893,Semiconductor,I4_122,-0.0079,-0.362,NaPN2_id3352_Final_E-4.53.cif
,,,,,,,,
BEFORE,LiZnO2,-3.4425,2.669,Semiconductor,Cmc2_1,,,LiZnO2_id1251_E-3.44.cif
AFTER,LiZnO2,-4.5244,0.968,Semiconductor,Cmc2_1,-1.0819,-1.701,LiZnO2_id1251_Final_E-4.52.cif
,,,,,,,,
BEFORE,ScSiO19,-4.3849,0.589,Semiconductor,P1,,,ScSiO19_id923_E-4.38.cif
AFTER,ScSiO19,-4.523,0.591,Semiconductor,P1,-0.1381,0.002,ScSiO19_id923_Final_E-4.52.cif
,,,,,,,,
BEFORE,Si4Sn2Ge5,-3.7359,2.052,Semiconductor,I4_1/amd,,,Si4Sn2Ge5_id2271_E-3.74.cif
AFTER,Si4Sn2Ge5,-4.5128,0.0,Metal,Pmm2,-0.7769,-2.052,Si4Sn2Ge5_id2271_Final_E-4.51.cif
,,,,,,,,
BEFORE,AlInSi6P,-4.1047,0.539,Semiconductor,P312,,,AlInSi6P_id1915_E-4.10.cif
AFTER,AlInSi6P,-4.5049,0.016,Metal,P312,-0.4002,-0.523,AlInSi6P_id1915_Final_E-4.50.cif
,,,,,,,,
BEFORE,BaCdSO7,-3.9363,2.345,Semiconductor,Pm,,,BaCdSO7_id2109_E-3.94.cif
AFTER,BaCdSO7,-4.4974,2.361,Semiconductor,Pm,-0.5611,0.016,BaCdSO7_id2109_Final_E-4.50.cif
,,,,,,,,
BEFORE,MgSiPSe,-3.6936,1.454,Semiconductor,Pca2_1,,,MgSiPSe_id1396_E-3.69.cif
AFTER,MgSiPSe,-4.4759,1.236,Semiconductor,Pca2_1,-0.7823,-0.218,MgSiPSe_id1396_Final_E-4.48.cif
,,,,,,,,
BEFORE,BaP,-4.4745,0.734,Semiconductor,P6_3/mmc,,,BaP_id316_E-4.47.cif
AFTER,BaP,-4.4747,0.676,Semiconductor,P6_3/mmc,-0.0002,-0.058,BaP_id316_Final_E-4.47.cif
,,,,,,,,
BEFORE,LiSeS3O2,-4.3528,2.615,Semiconductor,P1,,,LiSeS3O2_id326_E-4.35.cif
AFTER,LiSeS3O2,-4.4712,2.23,Semiconductor,P1,-0.1184,-0.385,LiSeS3O2_id326_Final_E-4.47.cif
,,,,,,,,
BEFORE,CaSiO5,-4.045,0.51,Semiconductor,Pm,,,CaSiO5_id1863_E-4.04.cif
AFTER,CaSiO5,-4.4709,1.419,Semiconductor,Pm,-0.4259,0.909,CaSiO5_id1863_Final_E-4.47.cif
,,,,,,,,
BEFORE,Ba2Sc4SnTe5,-3.5766,1.71,Semiconductor,Pbam,,,Ba2Sc4SnTe5_id1466_E-3.58.cif
AFTER,Ba2Sc4SnTe5,-4.4665,1.582,Semiconductor,P2/m,-0.8899,-0.128,Ba2Sc4SnTe5_id1466_Final_E-4.47.cif
,,,,,,,,
BEFORE,AsPSe2,-3.7619,1.482,Semiconductor,I-42d,,,AsPSe2_id1874_E-3.76.cif
AFTER,AsPSe2,-4.4496,1.322,Semiconductor,P1,-0.6877,-0.160,AsPSe2_id1874_Final_E-4.45.cif
,,,,,,,,
BEFORE,Ge5P4,-1.4436,0.371,Semiconductor,Cm,,,Ge5P4_id1255_E-1.44.cif
AFTER,Ge5P4,-4.4476,0.0,Metal,P1,-3.0040,-0.371,Ge5P4_id1255_Final_E-4.45.cif
,,,,,,,,
BEFORE,SeS3O,-4.2731,1.628,Semiconductor,P6_4,,,SeS3O_id2536_E-4.27.cif
AFTER,SeS3O,-4.4395,1.529,Semiconductor,P6_4,-0.1664,-0.099,SeS3O_id2536_Final_E-4.44.cif
,,,,,,,,
BEFORE,Li3Ca2O2,-0.9449,1.188,Semiconductor,Immm,,,Li3Ca2O2_id2_E-0.94.cif
AFTER,Li3Ca2O2,-4.4359,1.179,Semiconductor,P1,-3.4910,-0.009,Li3Ca2O2_id2_Final_E-4.44.cif
,,,,,,,,
BEFORE,K2BaS8,-3.5604,2.478,Semiconductor,I422,,,K2BaS8_id1103_E-3.56.cif
AFTER,K2BaS8,-4.4279,0.897,Semiconductor,P1,-0.8675,-1.581,K2BaS8_id1103_Final_E-4.43.cif
,,,,,,,,
BEFORE,InSe(N2O5)2,-4.4969,0.792,Semiconductor,Pm,,,InSe(N2O5)2_id3075_E-4.50.cif
AFTER,InSe(N2O5)2,-4.4201,0.669,Semiconductor,Pm,0.0768,-0.123,InSe(N2O5)2_id3075_Final_E-4.42.cif
,,,,,,,,
BEFORE,ZnO2,-4.1758,0.323,Semiconductor,Pbca,,,ZnO2_id2152_E-4.18.cif
AFTER,ZnO2,-4.4146,1.523,Semiconductor,Pbca,-0.2388,1.200,ZnO2_id2152_Final_E-4.41.cif
,,,,,,,,
BEFORE,S4O,-3.7222,0.116,Semiconductor,Pnn2,,,S4O_id2372_E-3.72.cif
AFTER,S4O,-4.4134,1.475,Semiconductor,Pc,-0.6912,1.359,S4O_id2372_Final_E-4.41.cif
,,,,,,,,
BEFORE,SiS9,-3.9951,1.303,Semiconductor,P2/m,,,SiS9_id28_E-4.00.cif
AFTER,SiS9,-4.3998,1.321,Semiconductor,P2,-0.4047,0.018,SiS9_id28_Final_E-4.40.cif
,,,,,,,,
BEFORE,Ca2Mg2InO18,-4.1748,2.853,Semiconductor,P1,,,Ca2Mg2InO18_id1257_E-4.17.cif
AFTER,Ca2Mg2InO18,-4.3993,1.881,Semiconductor,P1,-0.2245,-0.972,Ca2Mg2InO18_id1257_Final_E-4.40.cif
,,,,,,,,
BEFORE,GaSi3,-3.9527,0.287,Semiconductor,Imma,,,GaSi3_id2201_E-3.95.cif
AFTER,GaSi3,-4.3985,0.0,Metal,P-1,-0.4458,-0.287,GaSi3_id2201_Final_E-4.40.cif
,,,,,,,,
BEFORE,LiGe6(AsO2)2,-4.1971,1.211,Semiconductor,P3_121,,,LiGe6(AsO2)2_id540_E-4.20.cif
AFTER,LiGe6(AsO2)2,-4.3964,1.322,Semiconductor,P3_121,-0.1993,0.111,LiGe6(AsO2)2_id540_Final_E-4.40.cif
,,,,,,,,
BEFORE,NaZn2GaO4,-3.6134,0.785,Semiconductor,P4/mmm,,,NaZn2GaO4_id2281_E-3.61.cif
AFTER,NaZn2GaO4,-4.3899,3.05,Semiconductor,P4/mmm,-0.7765,2.265,NaZn2GaO4_id2281_Final_E-4.39.cif
,,,,,,,,
BEFORE,Sb4As7PS6,-3.8868,3.145,Semiconductor,Ima2,,,Sb4As7PS6_id972_E-3.89.cif
AFTER,Sb4As7PS6,-4.3853,3.084,Semiconductor,Ima2,-0.4985,-0.061,Sb4As7PS6_id972_Final_E-4.39.cif
,,,,,,,,
BEFORE,Li3ScSb3S4,-4.3785,0.221,Semiconductor,Pm-3n,,,Li3ScSb3S4_id1992_E-4.38.cif
AFTER,Li3ScSb3S4,-4.3785,0.221,Semiconductor,Pm-3n,0.0000,0.000,Li3ScSb3S4_id1992_Final_E-4.38.cif
,,,,,,,,
BEFORE,GeTeP,-3.7953,0.149,Semiconductor,Pccm,,,GeTeP_id603_E-3.80.cif
AFTER,GeTeP,-4.3752,0.028,Metal,P-1,-0.5799,-0.121,GeTeP_id603_Final_E-4.38.cif
,,,,,,,,
BEFORE,As17P,-3.9555,0.452,Semiconductor,P-62m,,,As17P_id2635_E-3.96.cif
AFTER,As17P,-4.3625,0.0,Metal,Pm,-0.4070,-0.452,As17P_id2635_Final_E-4.36.cif
,,,,,,,,
BEFORE,ZnO2,-4.36,1.255,Semiconductor,Fm-3m,,,ZnO2_id2989_E-4.36.cif
AFTER,ZnO2,-4.36,1.255,Semiconductor,Fm-3m,0.0000,0.000,ZnO2_id2989_Final_E-4.36.cif
,,,,,,,,
BEFORE,MgZnGa2S13,-2.9702,2.716,Semiconductor,Cmc2_1,,,MgZnGa2S13_id1157_E-2.97.cif
AFTER,MgZnGa2S13,-4.3592,3.375,Semiconductor,P1,-1.3890,0.659,MgZnGa2S13_id1157_Final_E-4.36.cif
,,,,,,,,
BEFORE,CdInSb3O2,-3.5513,0.862,Semiconductor,P4/mmm,,,CdInSb3O2_id58_E-3.55.cif
AFTER,CdInSb3O2,-4.3588,0.0,Metal,P1,-0.8075,-0.862,CdInSb3O2_id58_Final_E-4.36.cif
,,,,,,,,
BEFORE,AlSi,-4.2821,0.424,Semiconductor,Pbca,,,AlSi_id1487_E-4.28.cif
AFTER,AlSi,-4.3586,0.639,Semiconductor,Pbca,-0.0765,0.215,AlSi_id1487_Final_E-4.36.cif
,,,,,,,,
BEFORE,AlAs2,-4.2016,0.776,Semiconductor,I4_1cd,,,AlAs2_id478_E-4.20.cif
AFTER,AlAs2,-4.358,0.144,Semiconductor,I4_1cd,-0.1564,-0.632,AlAs2_id478_Final_E-4.36.cif
,,,,,,,,
BEFORE,Li2Be2Si5P,-3.9679,3.04,Semiconductor,P4_12_12,,,Li2Be2Si5P_id3065_E-3.97.cif
AFTER,Li2Be2Si5P,-4.3547,2.802,Semiconductor,P1,-0.3868,-0.238,Li2Be2Si5P_id3065_Final_E-4.35.cif
,,,,,,,,
BEFORE,As2Se,-4.2832,0.655,Semiconductor,Pbcn,,,As2Se_id3038_E-4.28.cif
AFTER,As2Se,-4.3222,1.016,Semiconductor,Pbcn,-0.0390,0.361,As2Se_id3038_Final_E-4.32.cif
,,,,,,,,
BEFORE,LiAs4(Se2S)2,-4.2424,1.456,Semiconductor,I4/m,,,LiAs4(Se2S)2_id3237_E-4.24.cif
AFTER,LiAs4(Se2S)2,-4.319,0.243,Semiconductor,I4/m,-0.0766,-1.213,LiAs4(Se2S)2_id3237_Final_E-4.32.cif
,,,,,,,,
BEFORE,BaP,-3.9915,0.16,Semiconductor,I4_1/a,,,BaP_id1447_E-3.99.cif
AFTER,BaP,-4.3155,0.857,Semiconductor,P1,-0.3240,0.697,BaP_id1447_Final_E-4.32.cif
,,,,,,,,
BEFORE,Na(PSe2)2,-4.2005,1.396,Semiconductor,P-42m,,,Na(PSe2)2_id1955_E-4.20.cif
AFTER,Na(PSe2)2,-4.3138,0.963,Semiconductor,P-42m,-0.1133,-0.433,Na(PSe2)2_id1955_Final_E-4.31.cif
,,,,,,,,
BEFORE,Ba2Li(SnSe)2,-4.2405,0.974,Semiconductor,P-42_1m,,,Ba2Li(SnSe)2_id871_E-4.24.cif
AFTER,Ba2Li(SnSe)2,-4.3113,0.691,Semiconductor,P-42_1m,-0.0708,-0.283,Ba2Li(SnSe)2_id871_Final_E-4.31.cif
,,,,,,,,
BEFORE,SeS4O,-3.7259,1.109,Semiconductor,P-6m2,,,SeS4O_id2233_E-3.73.cif
AFTER,SeS4O,-4.3051,1.481,Semiconductor,Pm,-0.5792,0.372,SeS4O_id2233_Final_E-4.31.cif
,,,,,,,,
BEFORE,Ca2In2PS7,-3.6688,0.647,Semiconductor,Pmmm,,,Ca2In2PS7_id340_E-3.67.cif
AFTER,Ca2In2PS7,-4.2888,1.937,Semiconductor,Pm,-0.6200,1.290,Ca2In2PS7_id340_Final_E-4.29.cif
,,,,,,,,
BEFORE,Ba3Sb4As4S3,-3.8385,1.217,Semiconductor,P6_3,,,Ba3Sb4As4S3_id1298_E-3.84.cif
AFTER,Ba3Sb4As4S3,-4.2861,1.448,Semiconductor,P6_3,-0.4476,0.231,Ba3Sb4As4S3_id1298_Final_E-4.29.cif
,,,,,,,,
BEFORE,KBO16,-3.713,0.855,Semiconductor,P1,,,KBO16_id3094_E-3.71.cif
AFTER,KBO16,-4.2838,0.033,Metal,P1,-0.5708,-0.822,KBO16_id3094_Final_E-4.28.cif
,,,,,,,,
BEFORE,SnAs4Se3,-3.4482,1.168,Semiconductor,I-42d,,,SnAs4Se3_id601_E-3.45.cif
AFTER,SnAs4Se3,-4.2833,0.0,Metal,P1,-0.8351,-1.168,SnAs4Se3_id601_Final_E-4.28.cif
,,,,,,,,
BEFORE,ScSi2,-4.2824,0.241,Semiconductor,Pn-3m,,,ScSi2_id782_E-4.28.cif
AFTER,ScSi2,-4.2824,0.241,Semiconductor,Pn-3m,0.0000,0.000,ScSi2_id782_Final_E-4.28.cif
,,,,,,,,
BEFORE,Be4GeCS2,-4.2766,0.389,Semiconductor,Fd-3m,,,Be4GeCS2_id1762_E-4.28.cif
AFTER,Be4GeCS2,-4.2779,0.368,Semiconductor,Fd-3m,-0.0013,-0.021,Be4GeCS2_id1762_Final_E-4.28.cif
,,,,,,,,
BEFORE,KCaO3,-4.276,0.162,Semiconductor,Pm-3m,,,KCaO3_id2789_E-4.28.cif
AFTER,KCaO3,-4.276,0.162,Semiconductor,Pm-3m,0.0000,0.000,KCaO3_id2789_Final_E-4.28.cif
,,,,,,,,
BEFORE,K3O4,-2.9466,3.312,Semiconductor,P-42_1m,,,K3O4_id1676_E-2.95.cif
AFTER,K3O4,-4.2588,0.0,Metal,P1,-1.3122,-3.312,K3O4_id1676_Final_E-4.26.cif
,,,,,,,,
BEFORE,BaCa2(NO6)2,-4.0989,1.606,Semiconductor,P1,,,BaCa2(NO6)2_id1766_E-4.10.cif
AFTER,BaCa2(NO6)2,-4.2535,2.75,Semiconductor,P1,-0.1546,1.144,BaCa2(NO6)2_id1766_Final_E-4.25.cif
,,,,,,,,
BEFORE,BaInGeAs3,-3.9321,1.722,Semiconductor,Pm,,,BaInGeAs3_id587_E-3.93.cif
AFTER,BaInGeAs3,-4.2527,0.0,Metal,Pm,-0.3206,-1.722,BaInGeAs3_id587_Final_E-4.25.cif
,,,,,,,,
BEFORE,LiAl2SiO12,-1.0655,1.22,Semiconductor,I-42m,,,LiAl2SiO12_id812_E-1.07.cif
AFTER,LiAl2SiO12,-4.2485,4.663,Insulator,Fmm2,-3.1830,3.443,LiAl2SiO12_id812_Final_E-4.25.cif
,,,,,,,,
BEFORE,AsS3,-3.9886,0.997,Semiconductor,P2/m,,,AsS3_id2012_E-3.99.cif
AFTER,AsS3,-4.243,1.251,Semiconductor,Pm,-0.2544,0.254,AsS3_id2012_Final_E-4.24.cif
,,,,,,,,
BEFORE,Ba2Sn(NO)2,-4.0695,3.305,Semiconductor,P1,,,Ba2Sn(NO)2_id2613_E-4.07.cif
AFTER,Ba2Sn(NO)2,-4.2406,1.503,Semiconductor,P1,-0.1711,-1.802,Ba2Sn(NO)2_id2613_Final_E-4.24.cif
,,,,,,,,
BEFORE,BaO2,-4.2184,0.207,Semiconductor,P-6m2,,,BaO2_id1807_E-4.22.cif
AFTER,BaO2,-4.2185,0.208,Semiconductor,P-6m2,-0.0001,0.001,BaO2_id1807_Final_E-4.22.cif
,,,,,,,,
BEFORE,Sc3(AlGa2)2,-3.6222,2.615,Semiconductor,Amm2,,,Sc3(AlGa2)2_id1442_E-3.62.cif
AFTER,Sc3(AlGa2)2,-4.2123,0.0,Metal,Amm2,-0.5901,-2.615,Sc3(AlGa2)2_id1442_Final_E-4.21.cif
,,,,,,,,
BEFORE,MgS,-4.0689,0.61,Semiconductor,Pmmm,,,MgS_id265_E-4.07.cif
AFTER,MgS,-4.2098,2.486,Semiconductor,Pccm,-0.1409,1.876,MgS_id265_Final_E-4.21.cif
,,,,,,,,
BEFORE,KBeO2,-4.2027,2.944,Semiconductor,Fm-3m,,,KBeO2_id555_E-4.20.cif
AFTER,KBeO2,-4.2027,2.944,Semiconductor,Fm-3m,0.0000,0.000,KBeO2_id555_Final_E-4.20.cif
,,,,,,,,
BEFORE,NaSi3(GeTe)3,-3.8121,1.555,Semiconductor,R-3c,,,NaSi3(GeTe)3_id652_E-3.81.cif
AFTER,NaSi3(GeTe)3,-4.1929,0.064,Semiconductor,P-1,-0.3808,-1.491,NaSi3(GeTe)3_id652_Final_E-4.19.cif
,,,,,,,,
BEFORE,SnSb2Se5,-4.024,0.943,Semiconductor,I-42d,,,SnSb2Se5_id1142_E-4.02.cif
